Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,matchday,Home_pre_po,Away_pre_po,home_Public_per,draw_public_per,away_public_per,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
B1,21/09/2019,19:30,Genk,Oostende,3,1,8,9,10,92.6,7.4,0,H,2,1,H,14,14,3,5,11,11,8,4,2,2,0,0,1.33,4.75,10,1.35,5.25,8.25,1.35,5.1,7.2,1.33,5.53,9.12,1.32,5.25,8.5,1.33,5.25,8.5,1.38,5.53,10,1.34,5.17,8.02
B1,22/09/2019,13:30,Standard,Eupen,3,0,8,1,15,100,0,0,H,2,0,H,15,4,8,1,9,14,6,3,0,2,0,1,1.28,5.75,9,1.26,6.25,10.5,1.3,5.3,8.6,1.27,5.84,11.94,1.25,5.5,11,1.29,5.75,10,1.31,6.25,12,1.27,5.6,9.98
B1,22/09/2019,17:00,Club Brugge,Anderlecht,2,1,8,3,13,88.9,11.1,0,H,1,1,D,17,5,8,4,11,14,8,3,1,2,0,0,1.5,4.33,6,1.55,4.4,5.5,1.53,4.35,5.2,1.54,4.69,5.7,1.5,4.5,5.5,1.5,4.5,5.75,1.57,4.75,6,1.52,4.46,5.44
B1,22/09/2019,19:00,Waregem,Gent,2,2,8,8,5,25.9,25.9,48.1,D,1,1,D,6,13,2,5,11,17,3,2,1,1,0,1,3.4,3.75,2,3.5,3.9,1.95,3.2,3.8,1.97,3.38,4.15,2.01,3.25,4,1.95,3.3,3.9,2,3.5,4.15,2.08,3.28,3.85,2
B1,28/09/2019,17:00,Mechelen,Club Brugge,0,5,9,6,3,4.5,13.6,81.8,A,0,1,A,2,22,0,12,6,19,1,12,2,1,1,0,6,4.33,1.5,6,4.2,1.55,5.8,4.4,1.47,5.9,4.9,1.5,4.8,4,1.6,6.25,4.5,1.5,6.3,4.9,1.55,5.88,4.53,1.48
B1,28/09/2019,19:00,Cercle Brugge,Eupen,1,2,9,14,16,59.1,22.7,18.2,A,1,0,H,7,7,3,4,22,19,1,2,4,4,1,0,2,3.6,3.25,2.1,3.7,3.3,2.05,3.5,3.25,2.14,3.66,3.39,2.1,3.5,3.1,2.1,3.6,3.3,2.25,3.7,3.39,2.1,3.54,3.25
B1,28/09/2019,19:00,Gent,Kortrijk,2,0,9,5,12,100,0,0,H,0,0,D,13,3,8,2,9,14,2,5,2,0,0,0,1.3,5.5,9,1.3,5.75,9.25,1.3,5.2,8.1,1.35,5.69,8.04,1.5,4.33,5.5,1.3,5.5,9,1.37,5.75,9.25,1.32,5.4,8.22
B1,28/09/2019,19:00,Mouscron,Waregem,2,2,9,4,9,86.4,9.1,4.5,D,1,0,H,9,13,4,7,23,13,4,6,3,1,0,0,2.15,3.5,2.9,2.35,3.4,3,2.25,3.45,2.9,2.26,3.75,3.06,2.3,3.4,2.8,2.25,3.6,3,2.38,3.75,3.06,2.24,3.54,2.95
B1,28/09/2019,19:30,St Truiden,Genk,3,3,9,10,7,4.4,4.5,90.9,D,0,1,A,8,8,4,4,19,10,10,13,6,1,0,0,4.75,3.8,1.7,4.5,3.8,1.78,4.25,3.8,1.73,4.45,4.12,1.76,4,3.75,1.8,4.5,3.9,1.73,4.75,4.12,1.85,4.26,3.88,1.75
B1,29/09/2019,13:30,Anderlecht,Waasland-Beveren,0,0,9,13,15,95.2,4.8,0,D,0,0,D,12,4,5,2,14,17,7,1,2,3,0,0,1.36,4.75,6.5,1.4,5,7.25,1.4,4.65,6.6,1.41,4.83,8.03,1.3,5,8.5,1.4,4.75,7.5,1.47,5,8.03,1.4,4.75,7.02
