Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
B1,02/11/2019,17:00,Eupen,Genk,2,0,1,2.0,0.0,H,6.0,7.0,2.0,3.0,12.0,13.0,5.0,5.0,0.0,1.0,0.0,0.0,4.33,3.6,1.8
B1,02/11/2019,19:00,Mouscron,Antwerp,3,1,1,0.0,1.0,A,8.0,8.0,6.0,6.0,18.0,14.0,5.0,5.0,3.0,1.0,0.0,0.0,3.8,3.6,1.9
B1,02/11/2019,19:00,St Truiden,Oostende,1,0,1,0.0,0.0,D,5.0,10.0,2.0,6.0,9.0,16.0,4.0,6.0,1.0,3.0,0.0,0.0,1.95,3.8,3.25
B1,02/11/2019,19:00,Waasland-Beveren,Waregem,1,2,0,0.0,1.0,A,13.0,9.0,5.0,6.0,13.0,8.0,7.0,4.0,2.0,2.0,0.0,0.0,2.9,3.75,2.2
B1,02/11/2019,19:30,Club Brugge,Kortrijk,3,0,1,2.0,0.0,H,15.0,4.0,8.0,1.0,7.0,22.0,5.0,4.0,0.0,4.0,0.0,0.0,1.16,7.0,15.0
B1,03/11/2019,13:30,Anderlecht,Cercle Brugge,2,1,1,2.0,1.0,H,15.0,8.0,13.0,5.0,7.0,16.0,12.0,6.0,1.0,3.0,0.0,0.0,1.36,5.25,7.5
B1,03/11/2019,17:00,Gent,Standard,3,1,1,0.0,1.0,A,11.0,14.0,3.0,4.0,13.0,22.0,5.0,4.0,3.0,5.0,1.0,1.0,1.75,4.0,4.0
B1,03/11/2019,19:00,Mechelen,Charleroi,2,2,2,2.0,2.0,D,11.0,9.0,5.0,7.0,17.0,19.0,8.0,4.0,2.0,0.0,0.0,0.0,2.3,3.6,2.8
B1,08/11/2019,19:30,Waregem,Anderlecht,1,2,0,0.0,1.0,A,11.0,6.0,6.0,5.0,9.0,14.0,5.0,2.0,2.0,1.0,0.0,0.0,3.0,3.75,2.2
B1,09/11/2019,17:00,Charleroi,Eupen,1,0,1,0.0,0.0,D,13.0,8.0,7.0,3.0,8.0,9.0,6.0,9.0,0.0,1.0,0.0,0.0,1.75,3.75,4.33
B1,09/11/2019,19:00,Cercle Brugge,St Truiden,2,1,1,1.0,0.0,H,16.0,12.0,8.0,4.0,14.0,7.0,10.0,7.0,1.0,2.0,0.0,0.0,2.37,3.6,2.75
B1,09/11/2019,19:00,Kortrijk,Waasland-Beveren,1,3,0,0.0,2.0,A,9.0,7.0,4.0,6.0,19.0,14.0,5.0,5.0,1.0,4.0,0.0,0.0,1.6,4.33,4.75
B1,09/11/2019,19:30,Oostende,Mouscron,2,2,2,1.0,0.0,H,7.0,14.0,5.0,7.0,10.0,15.0,3.0,7.0,1.0,1.0,0.0,0.0,2.6,3.6,2.5
B1,10/11/2019,13:30,Antwerp,Club Brugge,2,1,1,0.0,1.0,A,9.0,7.0,3.0,4.0,16.0,19.0,4.0,9.0,6.0,3.0,0.0,0.0,3.5,3.6,2.0
B1,10/11/2019,17:00,Genk,Gent,0,2,0,0.0,1.0,A,10.0,8.0,7.0,7.0,19.0,11.0,6.0,2.0,3.0,0.0,0.0,0.0,2.37,3.6,2.7
B1,10/11/2019,19:00,Standard,Mechelen,1,2,0,0.0,1.0,A,12.0,6.0,3.0,3.0,14.0,15.0,8.0,2.0,1.0,2.0,0.0,0.0,1.57,4.0,5.5
B1,21/11/2019,19:30,Antwerp,Gent,3,2,1,2.0,1.0,H,10.0,12.0,6.0,5.0,20.0,11.0,4.0,4.0,4.0,5.0,0.0,0.0,2.8,3.4,2.4
B1,22/11/2019,19:30,Club Brugge,Oostende,2,0,1,1.0,0.0,H,17.0,4.0,8.0,2.0,7.0,6.0,9.0,2.0,1.0,0.0,0.0,1.0,1.16,7.5,13.0
B1,23/11/2019,17:00,Eupen,Standard,1,2,0,0.0,1.0,A,5.0,15.0,2.0,4.0,19.0,12.0,3.0,2.0,3.0,0.0,0.0,0.0,4.5,3.6,1.8
B1,23/11/2019,19:00,Mechelen,Waregem,0,2,0,0.0,1.0,A,10.0,15.0,4.0,6.0,12.0,17.0,1.0,6.0,2.0,3.0,0.0,0.0,1.8,3.75,4.2
